product,name,description,availability,sku,price,collection,keshi,metal,type
pearl-earrings-touchstone-ruby-earrings-yellow-gold,Touchstone Ruby Earrings - Yellow Gold,"Paspaley earrings featuring two, 12mm triangle pearls set in 18kt yellow gold, with 22 rubies (0.66ct) and two white diamonds (0.07ct).",Out of stock,V14E02YPT12,4980,Touchstone,FALSE,Yellow gold,Earrings
pearl-necklaces-baroque-pearl-swap-white-gold,Baroque Pearl Swap - White Gold,"Paspaley swap clasp featuring one, 13mm baroque pearl with an 18kt white gold mechanism. Nitrile chord and cascade available separately.",In stock,C00L01WPQ13,2280,Other,FALSE,White gold,Necklace
pearl-necklaces-bella-pendant-white-gold,Bella Pendant - White Gold,Paspaley pendant featuring a 13mm semi round pearl set in 18kt white gold. Chain sold separately.,In stock,C00P04WPS13,3280,Other,FALSE,White gold,Necklace
pearl-necklaces-bella-pendant-yellow-gold,Bella Pendant - Yellow Gold,Paspaley pendant featuring a 13mm round pearl set in 18kt yellow gold. Chain sold separately.,Out of stock,C00P04YPR13,3750,Other,FALSE,Yellow gold,Necklace
pearl-necklaces-circle-bella-petite-pendant-white-gold,Circlé Bella Petite Pendant - White Gold,Paspaley pendant featuring a 11mm circlé pearl set in 18kt white gold. Chain sold separately.,In stock,C00P05WPC11,880,Other,FALSE,White gold,Necklace
pearl-necklaces-circle-bella-petite-pendant-yellow-gold,Circlé Bella Petite Pendant - Yellow Gold,Paspaley pendant featuring a 11mm circlé pearl set in 18kt yellow gold. Chain sold separately.,In stock,C00P05YPC11,880,Other,FALSE,Yellow gold,Necklace
pearl-necklaces-diamond-touchstone-pendant-13mm-oval-yellow-gold,Diamond Touchstone Pendant 13mm Oval  - Yellow Gold,"Paspaley pendant featuring one 13mm oval pearl set in 18kt yellow gold, with 23 white diamonds (0.23ct). Chain sold separately.",In stock,DC18P04YPO13,5160,Touchstone,FALSE,Yellow gold,Necklace
pearl-necklaces-grace-pendant-rose-gold,Grace Pendant - Rose Gold,"Paspaley pendant featuring a 12mm round pearl set in 18kt rose gold, with one white diamond (0.25ct). Chain sold separately.",In stock,C00P28RPR12,4780,Other,FALSE,Rose gold,Necklace
pearl-necklaces-grace-pendant-white-gold,Grace Pendant - White Gold,"Paspaley pendant featuring a 12mm round pearl set in 18kt white gold, with one white diamond (0.25ct). Chain sold separately.",In stock,C00P28WPR12,4780,Other,FALSE,White gold,Necklace
pearl-necklaces-grace-pendant-yellow-gold,Grace Pendant - Yellow Gold,"Paspaley pendant featuring a 12mm round pearl set in 18kt yellow gold, with one white diamond (0.25ct). Chain sold separately.",In stock,C00P28YPR12,4780,Other,FALSE,Yellow gold,Necklace
pearl-necklaces-large-grace-pendant-white-gold,Large Grace Pendant - White Gold,"Paspaley pendant featuring a 14mm round pearl set in 18kt white gold, with one white diamond (0.25ct). Chain sold separately.",In stock,C00P28WPR14,5780,Other,FALSE,White gold,Necklace
pearl-necklaces-large-grace-pendant-yellow-gold,Large Grace Pendant - Yellow Gold,"Paspaley pendant featuring a 14mm round pearl set in 18kt yellow gold, with one white diamond (0.25ct). Chain sold separately.",In stock,C00P28YPR14,5780,Other,FALSE,Yellow gold,Necklace
pearl-necklaces-lavalier-circle-rose-gold,Lavalier Circlé - Rose Gold,"Paspaley necklace featuring a loose 15mm circlé pearl encased in 18kt rose gold, with 12 white diamonds on clasp (0.03ct). Length is adjustable (40-73cm).",In stock,DH16N01RC,5160,Lavalier,FALSE,Rose gold,Necklace
pearl-necklaces-lavalier-circle-white-gold,Lavalier Circlé - White Gold,"Paspaley necklace featuring a loose 15mm circlé pearl encased in 18kt white gold, with 12 white diamonds on clasp (0.03ct). Length is adjustable (40-73cm).",In stock,DH13N01W83C,5160,Lavalier,FALSE,White gold,Necklace
pearl-necklaces-lavalier-circle-yellow-gold,Lavalier Circlé - Yellow Gold,"Paspaley necklace featuring a loose 15mm circlé pearl encased in 18kt yellow gold, with 12 white diamonds on clasp (0.03ct). Length is adjustable (40-73cm).",In stock,DH13N01Y83C,5160,Lavalier,FALSE,Yellow gold,Necklace
pearl-necklaces-lavalier-opal-hero-rose-gold,Lavalier Opal Hero - Rose Gold,"Paspaley necklace featuring a loose 16mm round pearl encased in 18kt rose gold, with 30 opals (0.90ct), 68 white diamonds (0.90ct), and one 6mm keshi pearl. Length is adjustable (42-85cm).",Out of stock,DH15N30RH,25600,Lavalier,TRUE,Rose gold,Necklace
pearl-necklaces-lavalier-petite-circle-white-gold,Lavalier Petite Circlé - White Gold,"Paspaley necklace featuring a loose 13mm circlé pearl encased in 18kt white gold, with 12 white diamonds on claps (0.02ct). Length is adjustable (40cm-78cm).",In stock,DH14N20WC,3860,Lavalier,FALSE,White gold,Necklace
pearl-necklaces-lavalier-petite-circle-yellow-gold,Lavalier Petite Circlé - Yellow Gold,"Paspaley necklace featuring a loose 13mm circlé pearl encased in 18kt yellow gold, with 12 white diamonds on clasp (0.02ct). Length is adjustable (40cm-78cm).",In stock,DH14N20YC,3860,Lavalier,FALSE,Yellow gold,Necklace
pearl-necklaces-lavalier-petite-diamond-rose-gold,Lavalier Petite Diamond - Rose Gold,"Paspaley necklace featuring a loose 13mm circlé pearl encased in 18ct rose gold, with 51 white diamonds on clasp (0712ct). Length is adjustable (40cm-78cm).",Out of stock,DH17N21RC,8960,Lavalier,FALSE,Rose gold,Necklace
pearl-necklaces-maxima-black-necklet-white-gold,Maxima Black Necklet - White Gold,"Paspaley necklace set in 18kt white gold, with black mother-of-pearl and 76 white diamonds (0.30ct).",In stock,W17N01W,3880,Maxima,FALSE,White gold,Necklace
pearl-necklaces-maxima-black-rope-necklace-white-gold,Maxima Black Rope Necklace - White Gold,"Paspaley necklace featuring one, 11mm round pearl and black mother-of-pearl, with 2017 white diamonds (6.10ct), set in 18kt white gold.",Out of stock,W17N02WPR11,59800,Maxima,FALSE,White gold,Necklace
pearl-necklaces-maxima-chain-necklace-rose-gold,Maxima Chain Necklace – Rose Gold,Paspaley necklace featuring 11 Australian opals (6.35ct) and 101 white diamonds (0.60ct) set in 18kt rose gold.,In stock,W18N05R,17800,Maxima,FALSE,Rose gold,Necklace
pearl-necklaces-maxima-necklet-rose-gold,Maxima Necklet – Rose Gold,Paspaley necklace with one Australian opal (1.10ct) and 19 white diamonds (0.12ct) set in 18kt rose gold.,In stock,W18N06R,3980,Maxima,FALSE,Rose gold,Necklace
pearl-necklaces-maxima-necklet-yellow-gold,Maxima Necklet - Yellow Gold,"Paspaley necklace featuring mother-of-pearl set in 18kt yellow gold, with 12 white diamonds (0.05ct).",In stock,W15N01Y,1780,Maxima,FALSE,Yellow gold,Necklace
pearl-necklaces-maxima-pearl-rope-necklace-yellow-gold,Maxima Pearl Rope Necklace - Yellow Gold,"Paspaley necklace featuring nine, 11-12mm round pearls set in 18kt yellow gold with mother-of-pearl and 232 white diamonds (1.2ct).",Out of stock,W15N11YPR12,34800,Maxima,FALSE,Yellow gold,Necklace
pearl-necklaces-maxima-rope-necklace-rose-gold,Maxima Rope Necklace – Rose Gold,"Paspaley necklace with 23 Australian opals (13.10ct) and 197 white diamonds (1.20ct), set in 18kt rose gold.",Out of stock,W18N07R,36800,Maxima,FALSE,Rose gold,Necklace
pearl-necklaces-maxima-rope-necklace-yellow-gold,Maxima Rope Necklace - Yellow Gold,Paspaley necklace featuring mother-of-pearl set in 18kt yellow gold with 30 white diamonds (0.62ct).,In stock,W15N02Y,9980,Maxima,FALSE,Yellow gold,Necklace
pearl-necklaces-maxima-single-pearl-necklace-white-gold,Maxima Single Pearl Necklace - White Gold,"Paspaley Maxima mother-of-pearl necklace featuring one, 15mm round Australian South Sea pearl set in 750 white gold with two hundred and nine white diamonds, total 1.20 carats.",In stock,W15N07WPR15,22800,Maxima,FALSE,White gold,Necklace
pearl-necklaces-monsoon-budding-flower-pendant-white-gold,Monsoon Budding Flower Pendant - White Gold,"Paspaley Monsoon pendant featuring a 12mm oval Australian South Sea pearl set in 18kt white gold, with 45 white diamonds (0.31ct) and 201 tsavorites (2.80ct).",Out of stock,Y18P06WPO12,16800,Monsoon,FALSE,White gold,Necklace
pearl-necklaces-monsoon-budding-flower-pendant-yellow-gold,Monsoon Budding Flower Pendant - Yellow Gold,"Paspaley Monsoon pendant featuring a 12mm oval Australian South Sea pearl set in 18kt yellow gold, with 201 yellow diamonds and 45 white diamonds (3.11ct).",Out of stock,Y18P07YPO12,35800,Monsoon,FALSE,Yellow gold,Necklace
pearl-necklaces-monsoon-large-cicada-pendant-white-gold,Monsoon Large Cicada Pendant - White Gold,"Paspaley Monsoon pendant featuring a 16mm oval drop Australian South Sea pearl set in 18kt white gold, with, 2 emeralds (0.28ct) and 438 white diamonds (2.38ct).",Out of stock,Y18P30WPO16,32800,Monsoon,FALSE,White gold,Necklace
pearl-necklaces-monsoon-large-cicada-pendant-yellow-gold,Monsoon Large Cicada Pendant - Yellow Gold,"Paspaley Monsoon pendant featuring a 16mm oval drop Australian South Sea pearl set in 18kt yellow gold, with 2 emeralds (0.28ct) and 438 white diamonds (2.38ct).",Out of stock,Y18P30YPO16,32800,Monsoon,FALSE,Yellow gold,Necklace
pearl-necklaces-monsoon-petal-pendant-necklace-yellow-gold,Monsoon Petal Pendant Necklace - Yellow Gold,Paspaley Monsoon Necklace in 750 Yellow Gold with a 10mm Keshi Baroque Australian South Sea Pearl and 81 White Diamonds (0.58ct). Length 52cms.,In stock,Y18N04YKQ10,7680,Monsoon,TRUE,Yellow gold,Necklace
pearl-necklaces-monsoon-wildflower-collier-yellow-gold,Monsoon Wildflower Collier - Yellow Gold,"Paspaley Monsoon Unique Collier in 750 Yellow Gold with 77, 4-11mm Keshi Baroque Australian South Sea Pearls, 82 White Diamonds (3.40ct) and 397 Yellow Diamonds (8.36ct).",Out of stock,Y18N03YKQ11,228000,Monsoon,TRUE,Yellow gold,Necklace
pearl-necklaces-oval-bella-petite-pendant-yellow-gold,Oval Bella Petite Pendant - Yellow Gold,Paspaley pendant featuring a 11mm oval pearl set in 18kt yellow gold. Chain sold separately.,In stock,C00P05YPO11,1780,Other,FALSE,Yellow gold,Necklace
pearl-necklaces-palais-pearl-necklace-rose-gold,Palais Pearl Necklace - Rose Gold,"Paspaley necklace featuring a 13mm triangle pearl set in 18kt rose gold, with 12 white diamonds (0.06ct).",Out of stock,C00N15RPT13,2780,Other,FALSE,Rose gold,Necklace
pearl-necklaces-palais-pearl-necklace-white-gold,Palais Pearl Necklace - White Gold,"Paspaley necklace featuring a 14mm triangle pearl set in 18kt white gold, with 30 white diamonds (0.20ct).",In stock,C00N14WPT14,3280,Other,FALSE,White gold,Necklace
pearl-necklaces-palais-pearl-necklace-yellow-gold,Palais Pearl Necklace - Yellow Gold,"Paspaley necklace featuring a 14mm triangle pearl set in 18kt yellow gold, with 30 white diamonds (0.20ct).",In stock,C00N14YPT14,3280,Other,FALSE,Yellow gold,Necklace
pearl-necklaces-pearls-my-way-pave-pendant-14mm-round-white-gold,Pearls My Way Pave Pendant 14mm Round - White Gold,"Paspaley pendant featuring one 14mm round pearl set in 18kt white gold, with 49 white diamonds (0.26ct). Chain sold separately.",In stock,DC18P03WPR14,8960,Pearls My Way,FALSE,White gold,Necklace
pearl-necklaces-rockpool-long-chain-white-gold,Rockpool Long Chain - White Gold,"Paspaley Australian South Sea Keshi chain in 18kt white gold with 20, 5mm Keshi baroque pearls and 18 white diamonds (0.44ct). Pendant sold separately.",In stock,X17C10WKQ05,10800,Rockpool,TRUE,White gold,Necklace
pearl-necklaces-rockpool-paraiba-collier-platinum,Rockpool Paraiba Collier - Platinum,"Paspaley collier featuring 110, 5-11mm keshi baroque pearls set in platinum, with 15 Paraiba tourmalines (82.47ct) and 521 white diamonds (11.78ct).",Out of stock,X17N10PKQ11,388000,Rockpool,TRUE,Platinum,Necklace
pearl-necklaces-rockpool-pendant-white-gold,Rockpool Pendant - White Gold,"Paspaley pendant featuring a 6mm keshi baroque pearl set in 18kt white gold, with mother-of-pearl and 122 white diamonds (0.54ct). Chain sold separately.",In stock,X17P11WKQ06,9280,Rockpool,TRUE,White gold,Necklace
pearl-necklaces-rockpool-pendant-yellow-gold,Rockpool Pendant - Yellow Gold,"Paspaley pendant featuring a 6mm keshi baroque pearl set in 18kt yellow gold, with mother-of-pearl and 122 white diamonds (0.54ct). Chain sold separately.",In stock,X17P11YKQ06,9280,Rockpool,TRUE,Yellow gold,Necklace
pearl-necklaces-rockpool-petite-pendant-white-gold,Rockpool Petite Pendant - White Gold,"Paspaley pendant featuring mother-of-pearl set in 18kt white gold, with 91 white diamonds (0.46ct). Chain sold separately.",In stock,X17P10W,7280,Rockpool,FALSE,White gold,Necklace
pearl-necklaces-rockpool-petite-pendant-yellow-gold,Rockpool Petite Pendant - Yellow Gold,"Paspaley pendant featuring mother-of-pearl set in 18kt yellow gold, with 91 white diamonds (0.46ct). Chain sold separately.",In stock,X17P10Y,7280,Rockpool,FALSE,Yellow gold,Necklace
pearl-necklaces-rockpool-short-chain-yellow-gold,Rockpool Short Chain - Yellow Gold,"Paspaley necklace featuring 10, 5mm keshi baroque pearls set in 18kt yellow gold, with 12 white diamonds (0.23ct). Pendant sold separately.",In stock,X17C11YKQ05,6880,Rockpool,TRUE,Yellow gold,Necklace
pearl-necklaces-rockpool-tanzanite-collier-platinum,Rockpool Tanzanite Collier - Platinum,"Paspaley collier featuring 70, 4-6mm keshi baroque pearls set in platinum, with 10 tanzanites (55.59ct) and 1904 white diamonds (28.26ct) and 131 amethysts (3.44ct).",Out of stock,X17N11PKQ06,258000,Rockpool,TRUE,Platinum,Necklace
pearl-necklaces-semi-round-pearl-swap-yellow-gold,Semi Round Pearl Swap - Yellow Gold,"Paspaley swap featuring one, 14mm semi round pearl with an 18kt yellow gold mechanism. Nitrile chord and cascade available separately.",Out of stock,C00L01YPS14,4480,Other,FALSE,Yellow gold,Necklace
pearl-necklaces-touchstone-black-diamond-necklace-white-gold,Touchstone Black Diamond Necklace - White Gold,"Paspaley necklace featuring seven, 12mm oval pearls set in 18kt white gold, with 140 black diamonds (1.21ct) and 12 white diamonds (0.03ct).",In stock,V16N01WPO12,13800,Touchstone,FALSE,White gold,Necklace
pearl-necklaces-touchstone-long-ruby-necklace-yellow-gold,Touchstone Long Ruby Necklace - Yellow Gold,"Paspaley necklace featuring 12, 12mm button pearls set in 18kt yellow gold, with 272 rubies (4.27ct).",Out of stock,V14N03YPB12,24800,Touchstone,FALSE,Yellow gold,Necklace
pearl-necklaces-touchstone-ruby-12mm-round-pendant-yellow-gold,Touchstone Ruby 12mm Round Pendant - Yellow Gold,"Paspaley pendant featuring one, 12mm round pearl set in 18kt yellow gold, with 22 rubies (0.25ct) and 12 white diamonds (0.06ct). Chain sold separately.",In stock,DC18P06YPR12,6760,Touchstone,FALSE,Yellow gold,Necklace
pearl-necklaces-touchstone-ruby-necklace-yellow-gold,Touchstone Ruby Necklace - Yellow Gold,"Paspaley necklace featuring a 13mm triangle pearl set in 18kt yellow gold, with ten rubies (0.10ct) and 12 white diamonds (0.03ct).",Out of stock,V14N04YPT13,3280,Touchstone,FALSE,Yellow gold,Necklace
pearl-necklaces-touchstone-ruby-tassel-yellow-gold,Touchstone Ruby Tassel - Yellow Gold,"Paspaley necklace featuring one, 13mm triangle pearl set in 18kt yellow gold, with 25 rubies (1.08ct) and 52 white diamonds (0.24ct).",In stock,V14N06YPT13,7280,Touchstone,FALSE,Yellow gold,Necklace
pearl-rings-embrace-the-sea-ring-yellow-gold,Embrace the Sea Ring - Yellow Gold,"Paspaley ring featuring a 10mm keshi baroque pearl set in 18kt yellow gold, with 16 white diamonds (0.29ct).",In stock,C00R12YKQ10,3980,Other,TRUE,Yellow gold,Ring
pearl-rings-julia-ring-white-gold,Julia Ring - White Gold,"Paspaley ring featuring a 9mm-10mm keshi baroque pearl set in 18kt white gold, with two white diamonds (0.03ct).",In stock,DC00R02WKQ10,1780,Other,TRUE,White gold,Ring
pearl-rings-julia-ring-yellow-gold,Julia Ring - Yellow Gold,"Paspaley ring featuring a 9mm-10mm keshi baroque pearl set in 18kt yellow gold, with two white diamonds (0.03ct).",In stock,DC00R02YKQ10,1780,Other,TRUE,Yellow gold,Ring
pearl-rings-keshi-cluster-ring-yellow-gold,Keshi Cluster Ring - Yellow Gold,"Paspaley ring featuring three, 5mm-7mm keshi baroque pearls set in 18kt yellow gold.",In stock,C00R11YKQ05,1780,Other,TRUE,Yellow gold,Ring
pearl-rings-keshi-eternity-ring-white-gold,Keshi Eternity Ring - White Gold,"Paspaley ring featuring a 10mm keshi baroque pearl set in 18kt white gold, with 12 white diamonds (0.30ct).",In stock,C11R10WKQ10,3280,Other,TRUE,White gold,Ring
pearl-rings-keshi-eternity-ring-yellow-gold,Keshi Eternity Ring - Yellow Gold,"Paspaley ring featuring a 10mm keshi baroque pearl set in 18kt yellow gold, with 12 white diamonds (0.30ct).",In stock,C11R10YKQ10,3280,Other,TRUE,Yellow gold,Ring
pearl-rings-maxima-black-ring-white-gold,Maxima Black Ring - White Gold,"Paspaley ring featuring black mother-of-pearl set in 18kt white gold, with 70 white diamonds (0.70ct).",In stock,DW17R01W,6280,Maxima,FALSE,White gold,Ring
pearl-rings-maxima-ring-rose-gold,Maxima Ring – Rose Gold,"Paspaley ring with two Australian opals (1.50ct) and 44 white diamonds (0.50ct), set in 18kt rose gold.",In stock,DW18R05R,5980,Maxima,FALSE,Rose gold,Ring
pearl-rings-maxima-ring-yellow-gold,Maxima Ring - Yellow Gold,"Paspaley ring featuring mother-of-pearl set in 18kt yellow gold, with two white diamonds.",In stock,DW15R01Y,1580,Maxima,FALSE,Yellow gold,Ring
pearl-rings-maxima-snake-ring-rose-gold,Maxima Snake Ring – Rose Gold,"Paspaley ring with one 11mm round pearl, two Australian opals (1.40ct) and 57 white diamonds (0.60ct), set in 18kt rose gold.",In stock,DW18R06RPR11,9880,Maxima,FALSE,Rose gold,Ring
pearl-rings-maxima-snake-ring-yellow-gold,Maxima Snake Ring - Yellow Gold,"Paspaley ring featuring one, 11mm round pearl set in 18kt yellow gold, with mother-of-pearl and 57 white diamonds (0.60ct).",In stock,DW17R02YPR11,6980,Maxima,FALSE,Yellow gold,Ring
pearl-rings-monsoon-large-button-ring-white-gold,Monsoon Large Button Ring - White Gold,Paspaley Monsoon Ring in 750 White Gold with a 15mm Button Australian South Sea Pearl and White Diamonds.,In stock,DY18R02WPB15,24800,Monsoon,FALSE,White gold,Ring
pearl-rings-monsoon-large-button-ring-yellow-gold,Monsoon Large Button Ring - Yellow Gold,Paspaley Monsoon Ring in 750 Yellow Gold with a 15mm Button Australian South Sea Pearl and White Diamonds.,In stock,DY18R02YPB15,24800,Monsoon,FALSE,Yellow gold,Ring
pearl-rings-monsoon-wildflower-ring-yellow-gold,Monsoon Wildflower Ring - Yellow Gold,"Paspaley Monsoon ring featuring 2, 5-11mm keshi baroque Australian South Sea pearls set in 18kt yellow gold, with 108 yellow diamonds and 36 white diamonds (2.10ct).",Out of stock,Y18R06YKQ11,24800,Monsoon,TRUE,Yellow gold,Ring
pearl-rings-monsoon-wrap-ring-white-gold,Monsoon Wrap Ring - White Gold,Paspaley Monsoon Ring in 750 White Gold with a 9mm Oval Australian South Sea Pearl and 69 White Diamonds (0.72ct).,In stock,DY18R01WPO09,6980,Monsoon,FALSE,White gold,Ring
pearl-rings-monsoon-wrap-ring-yellow-gold,Monsoon Wrap Ring - Yellow Gold,Paspaley Monsoon Ring in 750 Yellow Gold with a 9mm Oval Australian South Sea Pearl and 69 White Diamonds (0.72ct).,In stock,DY18R01YPO09,6980,Monsoon,FALSE,Yellow gold,Ring
pearl-rings-pave-cherish-ring-white-gold,Pavé Cherish Ring - White Gold,"Paspaley ring featuring a 10mm round pearl set in 18kt white gold, with 40 white diamonds (0.20ct).",Out of stock,C11R08WPR10,3980,Other,FALSE,White gold,Ring
pearl-rings-pave-cherish-ring-yellow-gold,Pave Cherish Ring - Yellow Gold,"Paspaley ring featuring a 10mm round pearl set in 18kt yellow gold, with 40 white diamonds (0.20ct).",In stock,C11R08YPR10,3980,Other,FALSE,Yellow gold,Ring
pearl-rings-rockpool-ring-white-gold,Rockpool Ring - White Gold,"Paspaley ring featuring one, 11mm round pearl set in 18kt white gold, with 112 white diamonds (0.35ct).",In stock,DX17R10WPR11,7680,Rockpool,FALSE,White gold,Ring
pearl-rings-touchstone-black-diamond-ring-white-gold,Touchstone Black Diamond Ring - White Gold,"Paspaley ring featuring a 9-10mm oval pearl set in 18kt white gold, with 39 black diamonds (0.48ct).",Out of stock,DV16R01WPO09,4980,Touchstone,FALSE,White gold,Ring
pearl-rings-touchstone-diamond-ring-yellow-gold,Touchstone Diamond Ring - Yellow Gold,"Paspaley ring featuring a 9-10mm oval pearl set in 18kt yellow gold, with 39 white diamonds (0.48ct).",In stock,DV16R01YPO09,5480,Touchstone,FALSE,Yellow gold,Ring
pearl-rings-touchstone-ruby-ring-yellow-gold,Touchstone Ruby Ring - Yellow Gold,"Paspaley ring featuring a 9-10mm oval pearl set in 18kt yellow gold, with 39 rubies (0.48ct).",Out of stock,DV16R02YPO09,4780,Touchstone,FALSE,Yellow gold,Ring
petite-circle-strand,Petite Circle Strand,"Paspaley 43.5cm choker length strand featuring 40, 10-12mm circle pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SCPC1012098,9980,Strand,FALSE,Other,Necklace
