product,name,description,availability,sku,price
pearl-necklaces-grace-pendant-rose-gold,Grace Pendant - Rose Gold,"Paspaley pendant featuring a 12mm round pearl set in 18kt rose gold, with one white diamond (0.25ct). Chain sold separately.",In stock,SKU    C00P28RPR12,"AUD 4,780.00"
pearl-necklaces-grace-pendant-white-gold,Grace Pendant - White Gold,"Paspaley pendant featuring a 12mm round pearl set in 18kt white gold, with one white diamond (0.25ct). Chain sold separately.",In stock,SKU    C00P28WPR12,"AUD 4,780.00"
pearl-necklaces-grace-pendant-yellow-gold,Grace Pendant - Yellow Gold,"Paspaley pendant featuring a 12mm round pearl set in 18kt yellow gold, with one white diamond (0.25ct). Chain sold separately.",In stock,SKU    C00P28YPR12,"AUD 4,780.00"
pearl-necklaces-large-grace-pendant-white-gold,Large Grace Pendant - White Gold,"Paspaley pendant featuring a 14mm round pearl set in 18kt white gold, with one white diamond (0.25ct). Chain sold separately.",In stock,SKU    C00P28WPR14,"AUD 5,780.00"
pearl-necklaces-large-grace-pendant-yellow-gold,Large Grace Pendant - Yellow Gold,"Paspaley pendant featuring a 14mm round pearl set in 18kt yellow gold, with one white diamond (0.25ct). Chain sold separately.",In stock,SKU    C00P28YPR14,"AUD 5,780.00"
pearl-necklaces-lavalier-circle-rose-gold,Lavalier Circlé - Rose Gold,"Paspaley necklace featuring a loose 15mm circlé pearl encased in 18kt rose gold, with 12 white diamonds on clasp (0.03ct). Length is adjustable (40-73cm).",In stock,SKU    DH16N01RC,"AUD 5,160.00"
pearl-necklaces-lavalier-circle-white-gold,Lavalier Circlé - White Gold,"Paspaley necklace featuring a loose 15mm circlé pearl encased in 18kt white gold, with 12 white diamonds on clasp (0.03ct). Length is adjustable (40-73cm).",In stock,SKU    DH13N01W83C,"AUD 5,160.00"
pearl-necklaces-lavalier-circle-yellow-gold,Lavalier Circlé - Yellow Gold,"Paspaley necklace featuring a loose 15mm circlé pearl encased in 18kt yellow gold, with 12 white diamonds on clasp (0.03ct). Length is adjustable (40-73cm).",In stock,SKU    DH13N01Y83C,"AUD 5,160.00"
pearl-necklaces-lavalier-opal-hero-rose-gold,Lavalier Opal Hero - Rose Gold,"Paspaley necklace featuring a loose 16mm round pearl encased in 18kt rose gold, with 30 opals (0.90ct), 68 white diamonds (0.90ct), and one 6mm keshi pearl. Length is adjustable (42-85cm).",Out of stock,SKU    DH15N30RH,"AUD 25,600.00"
pearl-necklaces-lavalier-petite-circle-white-gold,Lavalier Petite Circlé - White Gold,"Paspaley necklace featuring a loose 13mm circlé pearl encased in 18ct white gold, with 12 white diamonds on claps (0.02ct). Length is adjustable (40cm-78cm).",In stock,SKU    DH14N20WC,"AUD 3,860.00"
pearl-necklaces-lavalier-petite-circle-yellow-gold,Lavalier Petite Circlé - Yellow Gold,"Paspaley necklace featuring a loose 13mm circlé pearl encased in 18ct yellow gold, with 12 white diamonds on clasp (0.02ct). Length is adjustable (40cm-78cm).",In stock,SKU    DH14N20YC,"AUD 3,860.00"
pearl-necklaces-lavalier-petite-diamond-rose-gold,Lavalier Petite Diamond - Rose Gold,"Paspaley necklace featuring a loose 13mm circlé pearl encased in 18ct rose gold, with 51 white diamonds on clasp (0712ct). Length is adjustable (40cm-78cm).",Out of stock,SKU    DH17N21RC,"AUD 8,960.00"
pearl-necklaces-maxima-black-necklet-white-gold,Maxima Black Necklet - White Gold,"Paspaley necklace set in 18kt white gold, with black mother-of-pearl and 76 white diamonds (0.30ct).",In stock,SKU    W17N01W,"AUD 3,880.00"
pearl-necklaces-maxima-black-rope-necklace-white-gold,Maxima Black Rope Necklace - White Gold,"Paspaley necklace featuring one, 11mm round pearl and black mother-of-pearl, with 2017 white diamonds (6.10ct), set in 18kt white gold.",Out of stock,SKU    W17N02WPR11,"AUD 59,800.00"
pearl-necklaces-maxima-chain-necklace-rose-gold,Maxima Chain Necklace – Rose Gold,Paspaley necklace featuring 11 Australian opals (6.35ct) and 101 white diamonds (0.60ct) set in 18kt rose gold.,In stock,SKU    W18N05R,"AUD 17,800.00"
pearl-necklaces-maxima-necklet-rose-gold,Maxima Necklet – Rose Gold,Paspaley necklace with one Australian opal (1.10ct) and 19 white diamonds (0.12ct) set in 18kt rose gold.,In stock,SKU    W18N06R,"AUD 3,980.00"
pearl-necklaces-maxima-necklet-yellow-gold,Maxima Necklet - Yellow Gold,"Paspaley necklace featuring mother-of-pearl set in 18kt yellow gold, with 12 white diamonds (0.05ct).",In stock,SKU    W15N01Y,"AUD 1,780.00"
pearl-necklaces-maxima-pearl-rope-necklace-yellow-gold,Maxima Pearl Rope Necklace - Yellow Gold,"Paspaley necklace featuring nine, 11-12mm round pearls set in 18kt yellow gold with mother-of-pearl and 232 white diamonds (1.2ct).",Out of stock,SKU    W15N11YPR12,"AUD 34,800.00"
pearl-necklaces-maxima-rope-necklace-rose-gold,Maxima Rope Necklace – Rose Gold,"Paspaley necklace with 23 Australian opals (13.10ct) and 197 white diamonds (1.20ct), set in 18kt rose gold.",Out of stock,SKU    W18N07R,"AUD 36,800.00"
pearl-necklaces-maxima-rope-necklace-yellow-gold,Maxima Rope Necklace - Yellow Gold,Paspaley necklace featuring mother-of-pearl set in 18kt yellow gold with 30 white diamonds (0.62ct).,In stock,SKU    W15N02Y,"AUD 9,980.00"
pearl-necklaces-maxima-single-pearl-necklace-white-gold,Maxima Single Pearl Necklace - White Gold,"Paspaley Maxima mother-of-pearl necklace featuring one, 15mm round Australian South Sea pearl set in 750 white gold with two hundred and nine white diamonds, total 1.20 carats.",In stock,SKU    W15N07WPR15,"AUD 22,800.00"
pearl-necklaces-monsoon-budding-flower-pendant-white-gold,Monsoon Budding Flower Pendant - White Gold,"Paspaley Monsoon pendant featuring a 12mm oval Australian South Sea pearl set in 18kt white gold, with 45 white diamonds (0.31ct) and 201 tsavorites (2.80ct).",Out of stock,SKU    Y18P06WPO12,"AUD 16,800.00"
pearl-necklaces-monsoon-budding-flower-pendant-yellow-gold,Monsoon Budding Flower Pendant - Yellow Gold,"Paspaley Monsoon pendant featuring a 12mm oval Australian South Sea pearl set in 18kt yellow gold, with 201 yellow diamonds and 45 white diamonds (3.11ct).",Out of stock,SKU    Y18P07YPO12,"AUD 35,800.00"
pearl-necklaces-monsoon-large-cicada-pendant-white-gold,Monsoon Large Cicada Pendant - White Gold,"Paspaley Monsoon pendant featuring a 16mm oval drop Australian South Sea pearl set in 18kt white gold, with, 2 emeralds (0.28ct) and 438 white diamonds (2.38ct).",Out of stock,SKU    Y18P30WPO16,"AUD 32,800.00"
pearl-necklaces-monsoon-large-cicada-pendant-yellow-gold,Monsoon Large Cicada Pendant - Yellow Gold,"Paspaley Monsoon pendant featuring a 16mm oval drop Australian South Sea pearl set in 18kt yellow gold, with 2 emeralds (0.28ct) and 438 white diamonds (2.38ct).",Out of stock,SKU    Y18P30YPO16,"AUD 32,800.00"
pearl-necklaces-monsoon-petal-pendant-necklace-yellow-gold,Monsoon Petal Pendant Necklace - Yellow Gold,Paspaley Monsoon Necklace in 750 Yellow Gold with a 10mm Keshi Baroque Australian South Sea Pearl and 81 White Diamonds (0.58ct). Length 52cms.,In stock,SKU    Y18N04YKQ10,"AUD 7,680.00"
pearl-necklaces-monsoon-wildflower-collier-yellow-gold,Monsoon Wildflower Collier - Yellow Gold,"Paspaley Monsoon Unique Collier in 750 Yellow Gold with 77, 4-11mm Keshi Baroque Australian South Sea Pearls, 82 White Diamonds (3.40ct) and 397 Yellow Diamonds (8.36ct).",Out of stock,SKU    Y18N03YKQ11,"AUD 228,000.00"
pearl-necklaces-oval-bella-petite-pendant-yellow-gold,Oval Bella Petite Pendant - Yellow Gold,Paspaley pendant featuring a 11mm oval pearl set in 18kt yellow gold. Chain sold separately.,In stock,SKU    C00P05YPO11,"AUD 1,780.00"
pearl-necklaces-palais-pearl-necklace-rose-gold,Palais Pearl Necklace - Rose Gold,"Paspaley necklace featuring a 13mm triangle pearl set in 18kt rose gold, with 12 white diamonds (0.06ct).",Out of stock,SKU    C00N15RPT13,"AUD 2,780.00"
pearl-necklaces-palais-pearl-necklace-white-gold,Palais Pearl Necklace - White Gold,"Paspaley necklace featuring a 14mm triangle pearl set in 18kt white gold, with 30 white diamonds (0.20ct).",In stock,SKU    C00N14WPT14,"AUD 3,280.00"
pearl-necklaces-palais-pearl-necklace-yellow-gold,Palais Pearl Necklace - Yellow Gold,"Paspaley necklace featuring a 14mm triangle pearl set in 18kt yellow gold, with 30 white diamonds (0.20ct).",In stock,SKU    C00N14YPT14,"AUD 3,280.00"
pearl-necklaces-pearls-my-way-pave-pendant-14mm-round-white-gold,Pearls My Way Pave Pendant 14mm Round - White Gold,"Paspaley pendant featuring one 14mm round pearl set in 18kt white gold, with 49 white diamonds (0.26ct). Chain sold separately.",In stock,SKU    DC18P03WPR14,"AUD 8,960.00"
pearl-necklaces-rockpool-long-chain-white-gold,Rockpool Long Chain - White Gold,"Paspaley Australian South Sea Keshi chain in 18kt white gold with 20, 5mm Keshi baroque pearls and 18 white diamonds (0.44ct). Pendant sold separately.",In stock,SKU    X17C10WKQ05,"AUD 10,800.00"
pearl-necklaces-rockpool-paraiba-collier-platinum,Rockpool Paraiba Collier - Platinum,"Paspaley collier featuring 110, 5-11mm keshi baroque pearls set in platinum, with 15 Paraiba tourmalines (82.47ct) and 521 white diamonds (11.78ct).",Out of stock,SKU    X17N10PKQ11,"AUD 388,000.00"
pearl-necklaces-rockpool-pendant-white-gold,Rockpool Pendant - White Gold,"Paspaley pendant featuring a 6mm keshi baroque pearl set in 18kt white gold, with mother-of-pearl and 122 white diamonds (0.54ct). Chain sold separately.",In stock,SKU    X17P11WKQ06,"AUD 9,280.00"
pearl-necklaces-rockpool-pendant-yellow-gold,Rockpool Pendant - Yellow Gold,"Paspaley pendant featuring a 6mm keshi baroque pearl set in 18kt yellow gold, with mother-of-pearl and 122 white diamonds (0.54ct). Chain sold separately.",In stock,SKU    X17P11YKQ06,"AUD 9,280.00"
pearl-necklaces-rockpool-petite-pendant-white-gold,Rockpool Petite Pendant - White Gold,"Paspaley pendant featuring mother-of-pearl set in 18kt white gold, with 91 white diamonds (0.46ct). Chain sold separately.",In stock,SKU    X17P10W,"AUD 7,280.00"
pearl-necklaces-rockpool-petite-pendant-yellow-gold,Rockpool Petite Pendant - Yellow Gold,"Paspaley pendant featuring mother-of-pearl set in 18kt yellow gold, with 91 white diamonds (0.46ct). Chain sold separately.",In stock,SKU    X17P10Y,"AUD 7,280.00"
pearl-necklaces-rockpool-short-chain-yellow-gold,Rockpool Short Chain - Yellow Gold,"Paspaley necklace featuring 10, 5mm keshi baroque pearls set in 18kt yellow gold, with 12 white diamonds (0.23ct). Pendant sold separately.",In stock,SKU    X17C11YKQ05,"AUD 6,880.00"
pearl-necklaces-rockpool-tanzanite-collier-platinum,Rockpool Tanzanite Collier - Platinum,"Paspaley collier featuring 70, 4-6mm keshi baroque pearls set in platinum, with 10 tanzanites (55.59ct) and 1904 white diamonds (28.26ct) and 131 amethysts (3.44ct).",Out of stock,SKU    X17N11PKQ06,"AUD 258,000.00"
pearl-necklaces-semi-round-pearl-swap-yellow-gold,Semi Round Pearl Swap - Yellow Gold,"Paspaley swap featuring one, 14mm semi round pearl with an 18kt yellow gold mechanism. Nitrile chord and cascade available separately.",Out of stock,SKU    C00L01YPS14,"AUD 4,480.00"
pearl-necklaces-touchstone-black-diamond-necklace-white-gold,Touchstone Black Diamond Necklace - White Gold,"Paspaley necklace featuring seven, 12mm oval pearls set in 18kt white gold, with 140 black diamonds (1.21ct) and 12 white diamonds (0.03ct).",In stock,SKU    V16N01WPO12,"AUD 13,800.00"
pearl-necklaces-touchstone-long-ruby-necklace-yellow-gold,Touchstone Long Ruby Necklace - Yellow Gold,"Paspaley necklace featuring 12, 12mm button pearls set in 18kt yellow gold, with 272 rubies (4.27ct).",Out of stock,SKU    V14N03YPB12,"AUD 24,800.00"
pearl-necklaces-touchstone-ruby-12mm-round-pendant-yellow-gold,Touchstone Ruby 12mm Round Pendant - Yellow Gold,"Paspaley pendant featuring one, 12mm round pearl set in 18kt yellow gold, with 22 rubies (0.25ct) and 12 white diamonds (0.06ct). Chain sold separately.",In stock,SKU    DC18P06YPR12,"AUD 6,760.00"
pearl-necklaces-touchstone-ruby-necklace-yellow-gold,Touchstone Ruby Necklace - Yellow Gold,"Paspaley necklace featuring a 13mm triangle pearl set in 18kt yellow gold, with ten rubies (0.10ct) and 12 white diamonds (0.03ct).",Out of stock,SKU    V14N04YPT13,"AUD 3,280.00"
pearl-necklaces-touchstone-ruby-tassel-yellow-gold,Touchstone Ruby Tassel - Yellow Gold,"Paspaley necklace featuring one, 13mm triangle pearl set in 18kt yellow gold, with 25 rubies (1.08ct) and 52 white diamonds (0.24ct).",In stock,SKU    V14N06YPT13,"AUD 7,280.00"
pearl-rings-embrace-the-sea-ring-yellow-gold,Embrace the Sea Ring - Yellow Gold,"Paspaley ring featuring a 10mm keshi baroque pearl set in 18kt yellow gold, with 16 white diamonds (0.29ct).",In stock,SKU    C00R12YKQ10,"AUD 3,980.00"
pearl-rings-julia-ring-white-gold,Julia Ring - White Gold,"Paspaley ring featuring a 9mm-10mm keshi baroque pearl set in 18kt white gold, with two white diamonds (0.03ct).",In stock,SKU    DC00R02WKQ10,"AUD 1,780.00"
pearl-rings-julia-ring-yellow-gold,Julia Ring - Yellow Gold,"Paspaley ring featuring a 9mm-10mm keshi baroque pearl set in 18kt yellow gold, with two white diamonds (0.03ct).",In stock,SKU    DC00R02YKQ10,"AUD 1,780.00"
pearl-rings-keshi-cluster-ring-yellow-gold,Keshi Cluster Ring - Yellow Gold,"Paspaley ring featuring three, 5mm-7mm keshi baroque pearls set in 18kt yellow gold.",In stock,SKU    C00R11YKQ05,"AUD 1,780.00"
pearl-rings-keshi-eternity-ring-white-gold,Keshi Eternity Ring - White Gold,"Paspaley ring featuring a 10mm keshi baroque pearl set in 18kt white gold, with 12 white diamonds (0.30ct).",In stock,SKU    C11R10WKQ10,"AUD 3,280.00"
pearl-rings-keshi-eternity-ring-yellow-gold,Keshi Eternity Ring - Yellow Gold,"Paspaley ring featuring a 10mm keshi baroque pearl set in 18kt yellow gold, with 12 white diamonds (0.30ct).",In stock,SKU    C11R10YKQ10,"AUD 3,280.00"
pearl-rings-maxima-black-ring-white-gold,Maxima Black Ring - White Gold,"Paspaley ring featuring black mother-of-pearl set in 18kt white gold, with 70 white diamonds (0.70ct).",In stock,SKU    DW17R01W,"AUD 6,280.00"
pearl-rings-maxima-ring-rose-gold,Maxima Ring – Rose Gold,"Paspaley ring with two Australian opals (1.50ct) and 44 white diamonds (0.50ct), set in 18kt rose gold.",In stock,SKU    DW18R05R,"AUD 5,980.00"
pearl-rings-maxima-ring-yellow-gold,Maxima Ring - Yellow Gold,"Paspaley ring featuring mother-of-pearl set in 18kt yellow gold, with two white diamonds.",In stock,SKU    DW15R01Y,"AUD 1,580.00"
pearl-rings-maxima-snake-ring-rose-gold,Maxima Snake Ring – Rose Gold,"Paspaley ring with one 11mm round pearl, two Australian opals (1.40ct) and 57 white diamonds (0.60ct), set in 18kt rose gold.",In stock,SKU    DW18R06RPR11,"AUD 9,880.00"
pearl-rings-maxima-snake-ring-yellow-gold,Maxima Snake Ring - Yellow Gold,"Paspaley ring featuring one, 11mm round pearl set in 18kt yellow gold, with mother-of-pearl and 57 white diamonds (0.60ct).",In stock,SKU    DW17R02YPR11,"AUD 6,980.00"
pearl-rings-monsoon-large-button-ring-white-gold,Monsoon Large Button Ring - White Gold,Paspaley Monsoon Ring in 750 White Gold with a 15mm Button Australian South Sea Pearl and White Diamonds.,In stock,SKU    DY18R02WPB15,"AUD 24,800.00"
pearl-rings-monsoon-large-button-ring-yellow-gold,Monsoon Large Button Ring - Yellow Gold,Paspaley Monsoon Ring in 750 Yellow Gold with a 15mm Button Australian South Sea Pearl and White Diamonds.,In stock,SKU    DY18R02YPB15,"AUD 24,800.00"
pearl-rings-monsoon-wildflower-ring-yellow-gold,Monsoon Wildflower Ring - Yellow Gold,"Paspaley Monsoon ring featuring 2, 5-11mm keshi baroque Australian South Sea pearls set in 18kt yellow gold, with 108 yellow diamonds and 36 white diamonds (2.10ct).",Out of stock,SKU    Y18R06YKQ11,"AUD 24,800.00"
pearl-rings-monsoon-wrap-ring-white-gold,Monsoon Wrap Ring - White Gold,Paspaley Monsoon Ring in 750 White Gold with a 9mm Oval Australian South Sea Pearl and 69 White Diamonds (0.72ct).,In stock,SKU    DY18R01WPO09,"AUD 6,980.00"
pearl-rings-monsoon-wrap-ring-yellow-gold,Monsoon Wrap Ring - Yellow Gold,Paspaley Monsoon Ring in 750 Yellow Gold with a 9mm Oval Australian South Sea Pearl and 69 White Diamonds (0.72ct).,In stock,SKU    DY18R01YPO09,"AUD 6,980.00"
pearl-rings-pave-cherish-ring-white-gold,Pavé Cherish Ring - White Gold,"Paspaley ring featuring a 10mm round pearl set in 18kt white gold, with 40 white diamonds (0.20ct).",Out of stock,SKU    C11R08WPR10,"AUD 3,980.00"
pearl-rings-pave-cherish-ring-yellow-gold,Pave Cherish Ring - Yellow Gold,"Paspaley ring featuring a 10mm round pearl set in 18kt yellow gold, with 40 white diamonds (0.20ct).",In stock,SKU    C11R08YPR10,"AUD 3,980.00"
pearl-rings-rockpool-ring-white-gold,Rockpool Ring - White Gold,"Paspaley ring featuring one, 11mm round pearl set in 18kt white gold, with 112 white diamonds (0.35ct).",In stock,SKU    DX17R10WPR11,"AUD 7,680.00"
pearl-rings-touchstone-black-diamond-ring-white-gold,Touchstone Black Diamond Ring - White Gold,"Paspaley ring featuring a 9-10mm oval pearl set in 18kt white gold, with 39 black diamonds (0.48ct).",Out of stock,SKU    DV16R01WPO09,"AUD 4,980.00"
pearl-rings-touchstone-diamond-ring-yellow-gold,Touchstone Diamond Ring - Yellow Gold,"Paspaley ring featuring a 9-10mm oval pearl set in 18kt yellow gold, with 39 white diamonds (0.48ct).",In stock,SKU    DV16R01YPO09,"AUD 5,480.00"
pearl-rings-touchstone-ruby-ring-yellow-gold,Touchstone Ruby Ring - Yellow Gold,"Paspaley ring featuring a 9-10mm oval pearl set in 18kt yellow gold, with 39 rubies (0.48ct).",Out of stock,SKU    DV16R02YPO09,"AUD 4,780.00"
petite-circle-strand,Petite Circle Strand,"Paspaley 43.5cm choker length strand featuring 40, 10-12mm circle pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SKU    SCPC1012098,"AUD 9,980.00"
